Amount,Date,Client,Registrant,Purpose,To Subcontractor,Source,Record ID
4000.00,2011-04-01,Bay Gardens Resorts,Ruder Finn Inc,Expenses,,http://www.fara.gov/docs/1481-Supplemental-Statement-20111024-13.pdf,108890
279335.00,2011-04-01,Jamaica Tourist Board,Ruder Finn Inc,Expenses,,http://www.fara.gov/docs/1481-Supplemental-Statement-20111024-13.pdf,108891
16127.00,2011-04-01,"Novartis, A.G.",Ruder Finn Inc,Expenses,,http://www.fara.gov/docs/1481-Supplemental-Statement-20111024-13.pdf,108892
992.00,2011-04-01,Swiss Private Bankers Association,Ruder Finn Inc,Expenses,,http://www.fara.gov/docs/1481-Supplemental-Statement-20111024-13.pdf,108893
77448.96,03/31/13*,Embassy of the Republic of Korea to the United States,Ruder Finn Inc,,,http://www.fara.gov/docs/1481-Supplemental-Statement-20130425-16.pdf,110697
249686.79,03/31/13*,Jamaica Tourist Board,Ruder Finn Inc,,,http://www.fara.gov/docs/1481-Supplemental-Statement-20130425-16.pdf,110698
2684.85,03/31/13*,Swiss Private Bankers Association,Ruder Finn Inc,,,http://www.fara.gov/docs/1481-Supplemental-Statement-20130425-16.pdf,110699
1406.07,03/31/13*,Via Rail,Ruder Finn Inc,,,http://www.fara.gov/docs/1481-Supplemental-Statement-20130425-16.pdf,110700
43831.51,03/31/13*,Republic of Singapore (Singapore Tourism Board),Ruder Finn Inc,,,http://www.fara.gov/docs/1481-Supplemental-Statement-20130425-16.pdf,110701
5927.12,03/31/13*,Oficina De Visitantes Y Convenciones De La Riviera Nayarit,Ruder Finn Inc,,,http://www.fara.gov/docs/1481-Supplemental-Statement-20130425-16.pdf,110702
2385804.00,04/30/13*,Korea Trade - Investment Promotion Agency (KOTRA),Korea Trade Promotion Center,"Korea Business Center, New York",,http://www.fara.gov/docs/1619-Supplemental-Statement-20130528-18.pdf,110647
366177.86,04/30/13*,Korea Trade - Investment Promotion Agency (KOTRA),Korea Trade Promotion Center,"Korea Business Center, Los Angeles",,http://www.fara.gov/docs/1619-Supplemental-Statement-20130528-18.pdf,110648
1269726.16,04/30/13*,Korea Trade - Investment Promotion Agency (KOTRA),Korea Trade Promotion Center,"Korea Business Center, Chicago",,http://www.fara.gov/docs/1619-Supplemental-Statement-20130528-18.pdf,110649
671594.00,04/30/13*,Korea Trade - Investment Promotion Agency (KOTRA),Korea Trade Promotion Center,"Korea Business Center, Dallas",,http://www.fara.gov/docs/1619-Supplemental-Statement-20130528-18.pdf,110650
