Client name,Registrant name,Location of Client,Description of service (when available)
Switzerland Tourism,Switzerland Tourism,Switzerland,
Swiss Federal Railways,Switzerland Tourism,Switzerland,
Switzerland Tourism,Switzerland Tourism,Switzerland,
Swiss Federal Railways,Switzerland Tourism,Switzerland,
Bermuda Department of Tourism,Bermuda Department of Tourism,Bermuda,
Austrian Tourist Office in Vienna,Austrian Tourist Office Inc,Austria,
"The Republic of Iraq, acting through the Ministry of Finance",Cleary Gottlieb Steen & Hamilton LLP,Iraq,
Innovation Norway,Innovation Norway,Norway,
Belgian Tourist Office/OPT,Belgian Tourist Office,Belgium,
ENIT - Agenzia Nazionale del Turismo (Italian Government Tourist Board),Italian Government Tourist Board,Italy,
VisitBritain,Visitbritain,England,
South African Tourism,South African Tourism,Dominican Republic,
Netherlands Board Of Tourism & Conventions (NBTC) Vlietweg 15,Netherlands Board Of Tourism & Conventions,Europe,
The Ministry Of Trade & Industry Visit Denmark,Visit Denmark,Denmark,
Japan National Tourism Organization,Japan National Tourist Organization,Japan,
The League of Arab States,Arab Information Center No. 1,League of Arab States,
Jamaica Tourist Board,Caribbean Tourism Organization,Jamaica,
Government of Bermuda,Caribbean Tourism Organization,Bermuda,
Government of the Bahamas,Caribbean Tourism Organization,Bahamas,
British Virgin Islands,Caribbean Tourism Organization,British Virgin Islands,
Government of Barbados,Caribbean Tourism Organization,Barbados,
Commonwealth Of Dominica,Caribbean Tourism Organization,Commonwealth of Dominica,
The Government of the Republic of Trinidad and Tobago,Caribbean Tourism Organization,Trinidad and Tobago,
Venezuela,Caribbean Tourism Organization,Venezuela,
Republic of Guyana,Caribbean Tourism Organization,Turkey,
Ministry of Tourism St. Vincent & The Grenadines,Caribbean Tourism Organization,Morocco,
Government of the Cayman Islands,Caribbean Tourism Organization,Cayman Islands,
The Government ofthe Republic of Haiti,Caribbean Tourism Organization,Haiti,
Government of Antigua and Barbuda,Caribbean Tourism Organization,Antigua and Barbuda,
Belize,Caribbean Tourism Organization,Belize,
Anguilla,Caribbean Tourism Organization,Anguilla,
Curacao,Caribbean Tourism Organization,Curacao,
Bonaire,Caribbean Tourism Organization,Bonaire,
Grenada,Caribbean Tourism Organization,Grenada,
Guadalupe st. Barts,Caribbean Tourism Organization,Guadalupe/ St. Barts,
Montserrat,Caribbean Tourism Organization,Montserrat,
Puerto Rico,Caribbean Tourism Organization,Puerto Rico,
St. Eustatius,Caribbean Tourism Organization,St. Eustatius,
St. Kitts,Caribbean Tourism Organization,St. Kitts,
Saint Lucia,Caribbean Tourism Organization,Saint Lucia,
St. Maartin,Caribbean Tourism Organization,St. Maarten,
St.Martin,Caribbean Tourism Organization,St. Martin,
Turks & Caicos Islands,Caribbean Tourism Organization,Turks & Caicos Islands,
United Stats Virgin Islands,Caribbean Tourism Organization,US Virgin Islands,
Jamaica Tourist Board,Caribbean Tourism Organization,Jamaica,
Government of Bermuda,Caribbean Tourism Organization,Bermuda,
Government of the Bahamas,Caribbean Tourism Organization,Bahamas,
British Virgin Islands,Caribbean Tourism Organization,British Virgin Islands,
Government of Barbados,Caribbean Tourism Organization,Barbados,
Commonwealth Of Dominica,Caribbean Tourism Organization,Commonwealth of Dominica,
The Government of the Republic of Trinidad and Tobago,Caribbean Tourism Organization,Trinidad and Tobago,
Venezuela,Caribbean Tourism Organization,Venezuela,
Republic of Guyana,Caribbean Tourism Organization,Turkey,
Ministry of Tourism St. Vincent & The Grenadines,Caribbean Tourism Organization,Morocco,
Government of the Cayman Islands,Caribbean Tourism Organization,Cayman Islands,
The Government ofthe Republic of Haiti,Caribbean Tourism Organization,Haiti,
Government of Antigua and Barbuda,Caribbean Tourism Organization,Antigua and Barbuda,
Belize,Caribbean Tourism Organization,Belize,
Anguilla,Caribbean Tourism Organization,Anguilla,
Curacao,Caribbean Tourism Organization,Curacao,
Bonaire,Caribbean Tourism Organization,Bonaire,
Grenada,Caribbean Tourism Organization,Grenada,
Guadalupe st. Barts,Caribbean Tourism Organization,Guadalupe/ St. Barts,
Montserrat,Caribbean Tourism Organization,Montserrat,
Puerto Rico,Caribbean Tourism Organization,Puerto Rico,
St. Eustatius,Caribbean Tourism Organization,St. Eustatius,
St. Kitts,Caribbean Tourism Organization,St. Kitts,
Saint Lucia,Caribbean Tourism Organization,Saint Lucia,
St. Maartin,Caribbean Tourism Organization,St. Maarten,
St.Martin,Caribbean Tourism Organization,St. Martin,
Turks & Caicos Islands,Caribbean Tourism Organization,Turks & Caicos Islands,
United Stats Virgin Islands,Caribbean Tourism Organization,US Virgin Islands,
Jamaica Tourist Board,Caribbean Tourism Organization,Jamaica,
Government of Bermuda,Caribbean Tourism Organization,Bermuda,
Government of the Bahamas,Caribbean Tourism Organization,Bahamas,
British Virgin Islands,Caribbean Tourism Organization,British Virgin Islands,
Government of Barbados,Caribbean Tourism Organization,Barbados,
Commonwealth Of Dominica,Caribbean Tourism Organization,Commonwealth of Dominica,
The Government of the Republic of Trinidad and Tobago,Caribbean Tourism Organization,Trinidad and Tobago,
Venezuela,Caribbean Tourism Organization,Venezuela,
Republic of Guyana,Caribbean Tourism Organization,Turkey,
