Client,Amount,Date,Registrant,Purpose,From subcontractor,Source
Jamaica Tourist Board,342609.10,03/31/13*,Ruder Finn Inc,,,http://www.fara.gov/docs/1481-Supplemental-Statement-20130425-16.pdf
Maldives,130000.00,03/31/13*,Ruder Finn Inc,,,http://www.fara.gov/docs/1481-Supplemental-Statement-20130425-16.pdf
Swiss Private Bankers Association,22500.00,03/31/13*,Ruder Finn Inc,,,http://www.fara.gov/docs/1481-Supplemental-Statement-20130425-16.pdf
Turkish Culture & Tourist Office,64500.00,03/31/13*,Ruder Finn Inc,,,http://www.fara.gov/docs/1481-Supplemental-Statement-20130425-16.pdf
Via Rail,30000.00,03/31/13*,Ruder Finn Inc,,,http://www.fara.gov/docs/1481-Supplemental-Statement-20130425-16.pdf
Republic of Singapore (Singapore Tourism Board),40000.00,03/31/13*,Ruder Finn Inc,,,http://www.fara.gov/docs/1481-Supplemental-Statement-20130425-16.pdf
Oficina De Visitantes Y Convenciones De La Riviera Nayarit,18198.93,03/31/13*,Ruder Finn Inc,,,http://www.fara.gov/docs/1481-Supplemental-Statement-20130425-16.pdf
Embassy of the Republic of Korea to the United States,174217.00,03/31/13*,Ruder Finn Inc,,,http://www.fara.gov/docs/1481-Supplemental-Statement-20130425-16.pdf
Korea Trade - Investment Promotion Agency (KOTRA),2594613.00,04/30/13*,Korea Trade Promotion Center,New York Business Center,,http://www.fara.gov/docs/1619-Supplemental-Statement-20130528-18.pdf
Korea Trade - Investment Promotion Agency (KOTRA),2668062.22,04/30/13*,Korea Trade Promotion Center,"Korean Business Center, Los Angeles",,http://www.fara.gov/docs/1619-Supplemental-Statement-20130528-18.pdf
Korea Trade - Investment Promotion Agency (KOTRA),1269726.16,04/30/13*,Korea Trade Promotion Center,"Korean Business Center, Chicago",,http://www.fara.gov/docs/1619-Supplemental-Statement-20130528-18.pdf
Korea Trade - Investment Promotion Agency (KOTRA),753322.00,04/30/13*,Korea Trade Promotion Center,"Korean Business Center, Dallas",,http://www.fara.gov/docs/1619-Supplemental-Statement-20130528-18.pdf
Korea Trade - Investment Promotion Agency (KOTRA),898778.85,04/30/13*,Korea Trade Promotion Center,"Korean Business Center, Washington DC",,http://www.fara.gov/docs/1619-Supplemental-Statement-20130528-18.pdf
Korea Trade - Investment Promotion Agency (KOTRA),1459372.12,04/30/13*,Korea Trade Promotion Center,"Korean Business Center, Silicon Valley",,http://www.fara.gov/docs/1619-Supplemental-Statement-20130528-18.pdf
Korea Trade - Investment Promotion Agency (KOTRA),426323.70,04/30/13*,Korea Trade Promotion Center,"Korean Business Center, Miami",,http://www.fara.gov/docs/1619-Supplemental-Statement-20130528-18.pdf
Korea Trade - Investment Promotion Agency (KOTRA),899619.65,04/30/13*,Korea Trade Promotion Center,"Korean Business Center, Detroit",,http://www.fara.gov/docs/1619-Supplemental-Statement-20130528-18.pdf
