crp_id,title,name,agency,office,local
N00002079,,LAROCCO FOR SENATE,,"LaRocco, Larry",False
N00029289,,DOUG DENNENY FOR CONGRESS,,,False
N00005255,,SLATTERY FOR SENATE,,"Slattery, Jim",False
N00029289,,DENNENY FOR CONGRESS,,,False
N00029478,,WIL ARMSTRONG FOR U.S. CONGRESS (COLORADO),,,False
N00014035,,NELS ACKERSON FOR U.S. CONGRESS,,,False
N00026641,,MITAKIDES FOR CONGRESS,,,False
N00029250,,RICK NORIEGA FOR SENATE,,,False
N00027972,,,,,False
N00005255,,SLATERY FOR SENATE,,"Slattery, Jim",False
N00028959,,FEARING FOR CONGRESS,,,False
N00012454,,FRIENDS OF JAY WOLF,,,False
N00029137,,FOOTLIK FOR CONGRESS,,,False
N00028296,,WYKA FOR CONGRESS,,,False
N00029071,,COMMITTEE TO ELECT DAVID CAPPIELLO FOR CONGRESS,,,False
N00025547,,JOHN STEPHEN FOR CONGRESS,,,False
N00029743,,KETNER FOR CONGRESS,,,False
N00029895,,ANNE BARTH FOR CONGRESS,,,False
N00027600,,DARCY BURNER FOR CONGRESS,,,False
N00027866,,DAN SEALS FOR CONGRESS,,,False
N00029501,,JILL MORGENTHALER FOR CONGRESS,,,False
N00026055,,FRIENDS OF DAN HYNES,,,False
N00025719,,FRIENDS OF SCOTT VANDERHOEF,,,False
N00002618,,FRIENDS OF RALPH HUDGENS,,,False
N00003294,,COMMITTEE TO RE-ELECT JOHN EAVES,,,False
N00029536,,COMMITTEE TO RE-ELECT JAY ROBERTS,,,False
H6PA04110,,CITIZENS FOR ALTMIRE,,"Altmire, Jason",False
N00029741,,THOMAS MANION FOR CONGRESS,,,False
N00029302,,ANDREW RICE FOR SENATE,,,False
N00009908,,RUDY GIULIANI PRESIDENTIAL COMMITTEE,,"Giuliani, Rudy",False
N00029310,,JIM OGSBURY FOR CONGRESS,,,False
N00029685,,SAWYER FOR CONGRESS,,,False
N00029681,,CALONGNE FOR CONGRESS,,,False
N00029685,,PAUL SAWYER FOR CONGRESS,,,False
N00029424,,KEVIN O'NEILL FOR CONGRESS,,,False
N00029424,,FRIENDS OF KEVIN O'NEILL (CONGRESS),,,False
N00029715,,FRIENDS OF TRACEY BROOKS (CONGRESS),,,False
N00005255,,JIM SLATTERY FOR SENATE,,"Slattery, Jim",False
N00005399,,WOODY JENKINS FOR CONGRESS,,,False
N00009817,,DICK ZIMMER FOR SENATE,,"Zimmer, Dick",False
N00028961,,GILMORE FOR SENATE,,,False
N00029681,,LAURINDA COLOGNE FOR CONGRESS,,,False
N00030060,,SWEETLAND FOR CONGRESS,,,False
N00005399,,JENKINS FOR CONGRESS,,,False
N00024867,,SYDNEY HAY FOR CONGRESS,,,False
N00029741,,TOM MANION FOR CONGRESS,,,False
N00029071,,CAPPIELLO - CONNECTICUT VICTORY 08,,,False
N00029703,,CHRIS MYERS FOR CONGRESS,,,False
N00028961,,GILMORE FOR U.S. SENATE,,,False
N00029392,,ASHWIN MADIA FOR CONGRESS,,,False
N00027558,,GARD FOR CONGRESS,,,False
N00029693,,MCCULLOUGH FOR CONGRESS,,,False
N00029393,,JOHN ROUNSAVILLE FOR CONGRESS,,,False
N00029546,,CHARLIE ROSS FOR CONGRESS,,PAC,False
N00009908,,RUDY GIULIANI PRESIDENTIAL EXPLORATORY COMMITTEE,,"Giuliani, Rudy",False
N00029822,,GREG DAVIS FOR CONGRESS,,,False
N00029712,,MARCO GONZALES FOR CONGRESS,,,False
H6PA04110,,CITIZENS FOR ALTMIRE FREEDOM,,"Altmire, Jason",False
N00029133,,GODDARD FOR CONGRESS,,,False
N00028961,,JIM GILMORE FOR U.S. SENATE,,,False
N00029152,,COMMITTEE TO RE-ELECT JOE MCLAUGHLIN,,,False
N00029290,,FIMIAN FOR CONGRESS,,,False
N00002079,,LARRY LAROCCO FOR SENATE,,"LaRocco, Larry",False
N00029137,,FOOTLICK FOR CONGRESS,,,False
N00029404,,LEE ZELDIN FOR CONGRESS,,,False
N00012812,,DUANE SAND FOR CONGRESS,,,False
N00029577,,WILLIAM RUSSELL FOR CONGRESS,,,False
N00000286,,ROMNEY FOR PRESIDENT,,,False
N00009908,,RUDY FOR PRESIDENT,,"Giuliani, Rudy",False
N00029205,,BRIAN DAVIS FOR CONGRESS,,,False
N00029330,,ZEITS FOR CONGRESS,,,False
N00029331,,DASKAS FOR CONGRESS,,,False
N00027884,,STENDER FOR CONGRESS,,,False
N00029085,,TREADWELL FOR CONGRESS,,,False
x,,DISTRICT OF COLUMBIA REPUBLICAN COMMITTEE,,Non-Federal,False
N00009908,,REFUND - RUDY GIULIANI PRESIDENTIAL COMMITTEE,,"Giuliani, Rudy",False
N00029148,,COTE FOR CONGRESS,,,False
N00029223,,"CARDENAS, GEORGE A. FRIENDS OF",,,False
N00027763,,JILL DERBY FOR CONGRESS,,,False
N00029227,,,,,False
N00009908,,"GIULIANI, RUDY",,"Giuliani, Rudy",False
N00027972,,JUDY FEDER FOR CONGRESS,,,False
N00009908,,CITIZENS FOR GUILIANI,,"Giuliani, Rudy",False
N00029137,,JAY FOOTLIK FOR CONGRESS,,,False
N00024821,,"RICHARDSON FOR PRESIDENT EXPLORATORY COMM., INC.",,"Richardson, Bill",False
N00029148,,ADAM COTE FOR CONGRESS,,,False
N00027884,,LINDA STENDER FOR CONGRESS,,,False
N00029810,,RONNIE MUSGROVE FOR SENATE,,,False
N00003066,,DAVID WOODS FOR CONGRESS,,,False
N00004297,,CITIZENS FOR BARCA,,,False
N00029988,,IOWANS FOR KIM SCHMETT,,,False
N00003045,,PARKER FOR CONGRESS,,,False
N00029461,,JAY LOVE FOR CONGRESS,,,False
N00002039,,BYRNE FOR CONGRESS,,"Byrne, Leslie",False
N00026322,,STRICKLAND FOR SENATE,,,False
N00027568,,"DETERT, NANCY CAMPAIGN FUND",,,False
N00026322,,"STRICKLAND, FOR SENATE",,,False
N00029461,,JAY LOVE FOR CONGRESS CAMPAIGN,,,False
N00029663,,RAUL MARTINEZ FOR CONGRESS,,,False
N00006723,,MERVYN DYMALLY - CA SENATE,,"Dymally, Mervyn",False
N00029991,,KEVIN MISKELL - IA SENATE,,,False
N00028929,,RON HUBLER - IA CONGRESS,,,False
N00029989,,BECKY GREENWALD - IA CONGRESS,,,False
N00029330,,JOSH ZEITZ - NJ CONGRESS,,,False
N00027972,,JUDY FEDER - VA CONGRESS,,,False
N00027759,,SCOTT KLEEB - NB SENATE,,,False
N00029085,,,,,False
N00029076,,MARK PERA FOR CONGRESS,,,False
N00029084,,ROCQUE FOR CONGRESS,,,False
N00029310,,OGSBURY FOR CONGRESS,,,False
N00009908,,RUDY GIULIANI FOR PRESIDENT,,"Giuliani, Rudy",False
N00029162,,SCHURING FOR CONGRESS,,,False
N00027793,,TRAUNER FOR CONGRESS,,,False
N00030011,,CARMOUCHE FOR CONGRESS,,,False
N0000100,,ELIOT ENGEL FOR CONGRESS,,"Engel, Eliot",False
O'Connor,,PATRICK O'CONNOR FOR CONGRESS (D-IL-5),,"O'Connor, Patrick",False
O'Connor,,PATRICK O'CONNOR FOR CONGRESS,,"O'Connor, Patrick",False
O'Connor,,O'CONNOR FOR CONGRESS,,O'Connor,False
Galvin,,BILL GALVIN COMMITTEE,,"Galvin, William",False
Coakley,,THE MARTHA COAKLEY COMMITTEE,,"Coakley, Martha",False
O'Connor,,O'CONNOR FOR CONGRESS,,"O'Connor, Patrick",False
N0000982,,CIRO RODRIGUEZ FOR CONGRESS,,"Rodriguez, Ciro",False
Barnes,,KAY FOR CONGRESS,,"Barnes, Kay",False
Summers,,SUMMERS FOR CONGRESS,,"Schumer, Charles",False
