Amount,Date,Recipient,Registrant,Contributing Lobbyist or PAC,Source,Record ID
1000.00,2011-08-16,"Rep.  Chris Van Hollen, office: House, agency: Congress; ","Arnold & Porter, LLP",,http://www.fara.gov/docs/1750-Supplemental-Statement-20120130-14.pdf,29693
250.00,2011-09-16,"ARNOLD & PORTER PARTNERS PAC, office: PAC; ","Arnold & Porter, LLP",,http://www.fara.gov/docs/1750-Supplemental-Statement-20120130-14.pdf,29694
250.00,2011-10-08,"Rep.  Elizabeth Esty, office: House, agency: Congress; ","Arnold & Porter, LLP",,http://www.fara.gov/docs/1750-Supplemental-Statement-20120130-14.pdf,29695
1000.00,2011-12-20,Glenn Ivey for Congress; ,"Arnold & Porter, LLP",,http://www.fara.gov/docs/1750-Supplemental-Statement-20120130-14.pdf,29696
250.00,2011-12-30,"ARNOLD & PORTER PARTNERS PAC, office: PAC; ","Arnold & Porter, LLP",,http://www.fara.gov/docs/1750-Supplemental-Statement-20120130-14.pdf,29697
250.00,2012-04-13,"ARNOLD & PORTER PARTNERS PAC, office: PAC; ","Arnold & Porter, LLP",,http://www.fara.gov/docs/1750-Supplemental-Statement-20120730-15.pdf,29698
500.00,2012-06-02,"Rep.  Steny Hoyer, office: House, agency: Congress; ","Arnold & Porter, LLP",,http://www.fara.gov/docs/1750-Supplemental-Statement-20120730-15.pdf,29699
250.00,2012-06-13,"ARNOLD & PORTER PARTNERS PAC, office: PAC; ","Arnold & Porter, LLP",,http://www.fara.gov/docs/1750-Supplemental-Statement-20120730-15.pdf,29700
500.00,2012-06-13,Leslie Danks Burke for Congress; ,"Arnold & Porter, LLP",,http://www.fara.gov/docs/1750-Supplemental-Statement-20120730-15.pdf,29701
500.00,2012-06-22,"Rep.  Steny Hoyer, office: House, agency: Congress; ","Arnold & Porter, LLP",,http://www.fara.gov/docs/1750-Supplemental-Statement-20120730-15.pdf,29702
500.00,2012-07-17,"Congressman Greg Meeks, office: Rep. Gregory Meeks, agency: House; ","Arnold & Porter, LLP",,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,26115
500.00,2012-08-02,"Congressman Pedro Pierluisi, office: Rep. Pedro Pierluisi; ","Arnold & Porter, LLP",,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,26120
500.00,2012-08-26,Governor Tim Kaine; ,"Arnold & Porter, LLP",,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,26122
250.00,2012-09-13,"ARNOLD & PORTER PARTNERS PAC, office: PAC; ","Arnold & Porter, LLP",,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,26126
250.00,2012-09-13,"ARNOLD & PORTER PARTNERS PAC, office: PAC; ","Arnold & Porter, LLP",,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,26129
500.00,2012-09-14,"Rep.  Chris Van Hollen, office: House, agency: Congress; ","Arnold & Porter, LLP",,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,26130
360.00,2012-09-20,"U.S. Sen. Ben Cardin, office: Sen. Benjamin Cardin, agency: Senate; ","Arnold & Porter, LLP",,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,26132
250.00,2012-12-11,"ARNOLD & PORTER PARTNERS PAC, office: PAC; ","Arnold & Porter, LLP",,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,26135
1000.00,2011-01-31,"Rep.  Fortney Stark, office: House, agency: Congress; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29749
5000.00,2011-01-31,"Sen.  Debbie Stabenow, office: Senate, agency: Congress; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29750
3500.00,2011-01-31,"Sen.  Richard Lugar, office: Senate, agency: Congress; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29751
