Client name,Registrant name,Location of Client,,,
Embassy of the Republic of Chad,Patton Boggs LLP,Chad,2165,129769,x
Embassy of the People's Republic of China,Patton Boggs LLP,China,2165,129763,x
Government of the People's Republic of China,Patton Boggs LLP,China,2165,129775,x
The Government of Albania,Patton Boggs LLP,China,2165,130184,
Bo Zhang,Patton Boggs LLP,China,2165,130630,x
China National Tourism Administration (CNTA),China National Tourist Office,China,3318,129825,x
China Daily of Beijing,China Daily Distribution Corporation,China,3457,129827,x
"Bureau of Foreign Trade, Ministry of Economic Affairs, Government of the Republic of China (BOFT)","C&M International, Ltd.",China,3988,129853,x
The Government of Albania,"Podesta Group, Inc.",China,5926,130184,x
China Council for the Promotion of International Trade,"Representative Office in the USA, CCPIT",China,6113,130414,x
China Academy of Railway Sciences (CARS),Jeffrey Alan Leader,China,6069,130426,x
Shenyang Municipal Government (China) ,"PricewaterhouseCoopers LLP ('PwC LLP"")",China,6053,130431,x
The China-US Exchange Foundation,BLJ Worldwide LTD (Brown Lloyd James),China,5875,130489,x
Liu Yandong,Tur Partners LLC,China,6196,130601,x
Republic of Equatorial Guinea,Qorvis Communications LLC,Equatorial Guinea,5483,129986,x
Government of Equatorial Guinea,Lanny J. Davis & Associates,Equatorial Guinea,5985,130373,x
Republic of Equatorial Guinea,Salvarore Services LLC,Equatorial Guinea,6012,129986,x
Organization of Islamic Cooperation,Just Consulting LLC,Kingdom of Saudi Arabia,6137,130461,x
Chuyoua,"United Lao Council for Peace, Freedom and Reconstruction (ULCPFR)",Laos,6130,130503,x
Washeu,"United Lao Council for Peace, Freedom and Reconstruction (ULCPFR)",Laos,6130,130504,x
Chongge,"United Lao Council for Peace, Freedom and Reconstruction (ULCPFR)",Laos,6130,130505,x
Youachou,"United Lao Council for Peace, Freedom and Reconstruction (ULCPFR)",Laos,6130,130506,x
Chu Youa Vang,"United Lao Council for Peace, Freedom and Reconstruction (ULCPFR)",Laos,6130,130580,x
Kwang Yoon Kim,Woo Park,North Korea,6078,130400,x
Royal Embassy of Saudi Arabia,Patton Boggs LLP,Saudi Arabia,2165,129767,x
Saudi Food & Drug Authority,Patton Boggs LLP,Saudi Arabia,2165,130413,x
Royal Embassy of Saudi Arabia,Hogan & Hartson LLP (Hogan Lovells US LLP),Saudi Arabia,2244,129767,x
Saudi Basic Industry Corporation (SABIC),CMGRP Inc. DBA Weber Shandwick,Saudi Arabia,3911,129817,x
Saudi Arabian Oil Company The Government of the Kingdom of Saudi Arabia,"Saudi Refining, Inc.",Saudi Arabia,4184,129855,x
"King Abdullah City for Atomic and Renewable Energy (""KACARE"") ",Pillsbury Winthrop Shaw Pittman LLP,Saudi Arabia,5198,130500,x
Saudi Arabian Oil Company The Government of the Kingdom of Saudi Arabia,"Saudi Petroleum International, Inc.",Saudi Arabia,5321,129855,x
The Government of the Kingdom of Saudi Arabia,"Saudi Petroleum International, Inc.",Saudi Arabia,5321,129935,x
Royal Embassy of Saudi Arabia,Qorvis Communications LLC,Saudi Arabia,5483,129767,x
The Government of the Kingdom of Saudi Arabia,Ketchum Inc.,Saudi Arabia,5758,129935,x
Saudi Food & Drug Authority,Dewwy & LeBouf LLP,Saudi Arabia,6066,130413,x
Government of the Republic of Somaliland,"Independent Diplomat, Inc.",Somalia,5860,130279,x
Somali Republic,"Podesta Group, Inc.",Somalia,5926,130367,x
Federal Republic of Somalia,"Podesta Group, Inc.",Somalia,5926,130525,x
Federal Republic of Somalia,"Shulman, Rogers, Gandal, Pordy & Ecker, P.A.",Somalia,5976,130525,x
Central Bank of Somalia,"Shulman, Rogers, Gandal, Pordy & Ecker, P.A.",Somalia,5976,130562,x
The Puntland State of Somalia,"Steptoe & Johnson, LLP",Somalia,6077,130172,x
Sudanese Justice and Equality Movement,"JWI, LLC dba Jefferson Waterman International",Sudan,4990,130545,x
Sudan Liberation Movement (Abdul Wahid),Ester M. Sprange,Sudan,6091,130055,x
Embassy of the Republic of Sudan,Law Office of Bart S. Fisher,Sudan,6076,130425,x
US Office of the National Coalition of Syrian Revolution and Opposition Forces (Syrian Coalition),"Independent Diplomat, Inc.",Syria,5860,130572,x
People of Syria,National Change Party (National Change Current),Syria,6092,130454,x
MOUHAMMAD ZAHER BADARAANY,SYRIAN FUTURE MOVEMENT,Syria,6143,130478,x
"Government of Afghanistan, Embassy",DLA Piper US LLP,Afghanistan,3712,130217
Africa Travel Association,"Africa - The African Travel Association, Inc. (""Africa Travel Association"")",Africa,5967,130575
"Government of the People's Democratic Republic of Algeria, Embassy",Foley Hoag LLP,Algeria,4776,129873
The Government of the Republic of Angola,"LISCR, LLC",Angola,5490,129761
Clark Hill,Collins Anderson Philp Public Affairs,Angola,6124,130492
Purple Strategies,Collins Anderson Philp Public Affairs,Angola,6124,130493
Anguilla,Caribbean Tourism Organization,Anguilla,991,130531
Government of Antigua and Barbuda,Caribbean Tourism Organization,Antigua and Barbuda,991,130474
Government of Antigua and Barbuda,Hogan & Hartson LLP (Hogan Lovells US LLP),Antigua and Barbuda,2244,130474
Government of Antigua and Barbuda,Levick Strategic Communications,Antigua and Barbuda,5649,130474
Government of Antigua and Barbuda,Joseph P. Watkins,Antigua and Barbuda,6102,130474
Government of Aruba,Caribbean Tourism Development Company,Aruba,5910,130006
Government of Aruba,Hills Stern & Morley LLP,Aruba,5965,130006
Tourism Queensland (formerly Queensland Tourism and Travel Corporation),Tourism Queensland (formerly Queensland Tourist an,Australia,4146,129917
Tourism Tasmania,Development Counsellors International,Australia,4777,129874
Tourism Queensland (formerly Queensland Tourism and Travel Corporation),Development Counsellors International,Australia,4777,129917
Tourism Australia,Ketchum Inc.,Australia,5758,130550
Defense SA/ Government of South Australia,Paramount Strategies ,Australia,6174,130392
Defense SA/ Government of South Australia,"Fletcher Rowley, Inc.",Australia,6173,130392
Austrian Tourist Office in Vienna,Austrian Tourist Office Inc,Austria,495,129889
Federal Economic Chamber of Commerce (Wirtschaftskammer Oesterreich),"Austrian Trade Commission in the USA, Southern Reg",Austria,5041,129895
Advantage Austria at the Austrian Federal Economic Chamber,Austrian Trade Commission Chicago,Austria,6193,130590
The Embassy of the Republic of Azerbaijan,Patton Boggs LLP,Azerbaijan,2165,130179
International Bank of Azerbaijan,"JWI, LLC dba Jefferson Waterman International",Azerbaijan,4990,129892
The Consulate General of the Republic of Azerbaijan,"Tool Shed Group, LLC",Azerbaijan,5916,130021
The Embassy of the Republic of Azerbaijan,"Podesta Group, Inc.",Azerbaijan,5926,130179
Khayal Sharif-zedah,Azerbaijan America Alliance Corporation Board of Directors,Azerbaijan,6046,130421
"SOCAR USA, subsidiary of The State Oil Company of the Azerbaijan Republic","Roberti + White, LLC",Azerbaijan,6065,130598
The Consulate General of the Republic of Azerbaijan,The Potomac Square Group,Azerbaijan,6096,130021
The Embassy of the Republic of Azerbaijan,"BOB LAWRENCE & ASSOCIATES, INC. ",Azerbaijan,6101,130179
Government of Hungary,"Rasky Baerlein Strategic Communications, Inc.",Azerbaijan,6100,130131
The Embassy of Sri Lanka,"The Majority Group, LLC",Azerbaijan,6087,130180
Azerbaijan American Alliance Corporation,Fabiani & Company,Azerbaijan,6045,130513
The Embassy of Sri Lanka,Sienna Briella Girgenti,Azerbaijan,6030,130180
Government of the Bahamas,Caribbean Tourism Organization,Bahamas,991,129847
Bahamas Ministry of Tourism,Bahamas Ministry of Tourism,Bahamas,2310,130188
Government of the Bahamas,CMGRP Inc. DBA Weber Shandwick,Bahamas,3911,129847
Embassy of the Kingdom of Bahrain,Qorvis Communications LLC,Bahrain,5483,130445
"Ministry of Foreign Affairs, Kingdom of Bahrain","Sorini, Samet & Associates LLC",Bahrain,5839,130595
Embassy of the Kingdom of Bahrain,Potomac Square Group,Bahrain,6024,130445
"The Information Affairs Authority, Kingdom of Bahrain",Joe Trippi & Associates,Bahrain,6060,130510
Government of the People's Republic of Bangladesh represented by Embassy of Bangladesh to the United States of America,Foley Hoag LLP,Bangladesh,4776,130524
Government of Barbados,Caribbean Tourism Organization,Barbados,991,129932
Government of Barbados,Bruce Zagaris,Barbados,5299,129932
Invest Barbados,Bruce Zagaris,Barbados,5299,130298
Caribbean Tourism Development Company,Caribbean Tourism Development Company,Barbados,5910,130331
Belgian Tourist Office/OPT,Belgian Tourist Office,Belgium,529,129933
Flanders Tourism Board,"Tourist Office for Flanders, Belgium",Belgium,5840,130053
Friends of Gilgit Baltistan,Institute for Gilgit Baltistan Studies (IGBS),Belgium,6051,130496
Belize,Caribbean Tourism Organization,Belize,991,130530
Bermuda Department of Tourism,Bermuda Department of Tourism,Bermuda,430,130074
