Client,Amount,Date,Registrant,Purpose,From subcontractor,Source
National Security Council of Georgia,150000.00,2010-02-03,"Podesta Group, Inc.",Fee,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf
National Security Council of Georgia,150000.00,2010-03-30,"Podesta Group, Inc.",Fee,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf
Kingdom of Thailand,80000.00,2010-05-26,"Podesta Group, Inc.",Fee,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf
Kingdom of Thailand,43.06,2010-05-26,"Podesta Group, Inc.",Telephone,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf
Kingdom of Thailand,8038.80,2010-05-26,"Podesta Group, Inc.",Transportation/Travel,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf
Kingdom of Thailand,38.85,2010-05-26,"Podesta Group, Inc.",Printing/Copying,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf
Kingdom of Thailand,190.89,2010-05-26,"Podesta Group, Inc.",Meals,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf
Kingdom of Thailand,37.20,2010-05-26,"Podesta Group, Inc.",Courier,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf
Kingdom of Thailand,346.20,2010-05-26,"Podesta Group, Inc.",Publications,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf
Kingdom of Thailand,1000.00,2010-05-26,"Podesta Group, Inc.",Media Monitoring,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf
Kingdom of Thailand,305.00,2010-05-26,"Podesta Group, Inc.",Filing Fee,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf
Government of the Arab Republic of Egypt,93000.00,2010-01-25,"Podesta Group, Inc.",Fee,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf
Government of the Arab Republic of Egypt,93000.00,2010-03-11,"Podesta Group, Inc.",Fee,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf
Government of the Arab Republic of Egypt,93000.00,2010-04-29,"Podesta Group, Inc.",Fee,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf
Hong Kong Trade Development Council,25000.00,2010-01-29,"Podesta Group, Inc.",Fee,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf
Hong Kong Trade Development Council,25000.00,2010-02-11,"Podesta Group, Inc.",Fee,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf
Hong Kong Trade Development Council,25000.00,2010-03-01,"Podesta Group, Inc.",Fee,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf
Hong Kong Trade Development Council,25000.00,2010-05-04,"Podesta Group, Inc.",Fee,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf
Hong Kong Trade Development Council,25000.00,2010-05-10,"Podesta Group, Inc.",Fee,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf
Hong Kong Trade Development Council,25000.00,2010-05-28,"Podesta Group, Inc.",Fee,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf
Hong Kong Trade Development Council,25000.00,2010-06-24,"Podesta Group, Inc.",Fee,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf
Embassy Of Japan,15000.00,2010-01-04,"Podesta Group, Inc.",Fee,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf
Embassy Of Japan,15000.00,2010-01-12,"Podesta Group, Inc.",Fee,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf
Embassy Of Japan,15000.00,2010-01-22,"Podesta Group, Inc.",Fee,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf
Embassy Of Japan,45000.00,2010-04-02,"Podesta Group, Inc.",Fee,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf
Embassy Of Japan,15000.00,2010-06-16,"Podesta Group, Inc.",Fee,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf
