id,name,name-new,address,city,state,country,discription,Column,Column2,entered
1958, The League of Arab States , The League of Arab States ,,,,,"Registrant activities on behalf of the principal during the last six months period have consisted primarily of collecting readily available public information of particular interest to the foreign principal, and transmitting such information to the same. We would also like to report, that the representatives of Arab Governments accredited to the United States, make use of our conference room for their occasional meeting. The registrant, however, engages in no reportable activities in connection with those meetings.",1213,,TRUE
1959, The League of Arab States , The League of Arab States ,,,,,"Registrant activities on behalf of the principal during the last six months period have consisted primarily of collecting readily available public information of particular interest to the foreign principal, and transmitting such information to the same. We would also like to report, that the representatives of Arab Governments accredited to the United States, make use of our conference room for their occasional meeting. The registrant, however, engages in no reportable activities in connection with those meetings.",1214,,TRUE
1163,"A.K. Capital, NHB","A.K. Capital, NHB","Jung Hoo Building I-61-21, Tai Pyong Rd","Chung-ku, Seoul",,Korea,,739,476,TRUE
1273,Abu Dhabi Department of Planning & Economy,Abu Dhabi Department of Planning & Economy,"P.O. Box 12, Al Salam Street",Abu Dhabi,,United Arab Emirates,,809,477,TRUE
1127,Abu Dhabi Department of Planning and Economy,Abu Dhabi Department of Planning and Economy,,,,United Arab Emirates,"Review of deliverables with client for Investment Web site, Feedback and approval on deliverables, Finalize site map, Final Web site functionally documentation, Final Technical requirements documentation, Final Web site content matrix, Shipping of booklet, posters and info cards for use by DPE staff only to understand content matrix and technical requirements",715,477,TRUE
2038,Abu Dhabi Department of Planning and Economy,Abu Dhabi Department of Planning and Economy,,,,United Arab Emirates,,1268,477,TRUE
1788,Abu Dhabi Future Energy Company (Masdar) (through Gulf Hill & Knowlton WLL),Abu Dhabi Future Energy Company (Masdar) (through Gulf Hill & Knowlton WLL),,,,United Arab Emirates,Provided public relations counsel and assistance to promote the World Future Energy Summit and to promote the role of the Abu Dhabi Future Energy Company (Masdar) in the area of renewable energy and clean technology solutions.,1121,632,TRUE
878,Abu Dhabi Future Energy Company (Trading Name of Masdar),Abu Dhabi Future Energy Company (trading name of Masdar),,,,United Arab Emirates,,572,2,TRUE
874,Abu Dhabi Future Energy Company (trading name of Masdar),Abu Dhabi Future Energy Company (trading name of Masdar),"P.O. Box 45005, Abu Dhabi, United Arab Emirates ADPC Administration Bldg, 2nd Floor, Mina Road",,,United Arab Emirates,,571,2,TRUE
975,Abu Dhabi Future Energy Company (Trading Name Of Masdar),Abu Dhabi Future Energy Company (trading name of Masdar),,,,United Arab Emirates,,630,2,TRUE
977,Abu Dhabi Future Energy Company (Trading Name Of Masdar),Abu Dhabi Future Energy Company (trading name of Masdar),P.O. Box 54115,Abu Dhabi,,United Arab Emirates,,631,2,TRUE
154,Abu Dhabi Investment Authority,Abu Dhabi Investment Authority,,,,United Arab Emirates,Monitored issues surrounding sovereign wealth funds; advised client regarding strategy; supported development of clients internal communications functions.,107,3,TRUE
2460,Abu Dhabi Investment Authority,Abu Dhabi Investment Authority,,,,United Arab Emirates,Meetings with selected business journalists relating to financial matters relevant to ADIA.,1544,3,TRUE
2462,Abu Dhabi Investment Authority,Abu Dhabi Investment Authority,,,,United Arab Emirates,Meetings with selected business journalists relating to financial matters relevant to ADIA.,1545,3,TRUE
791,Abu Dhabi Investment Authority (ADIA),Abu Dhabi Investment Authority (ADIA),,,,United Arab Emirates,Monitored issues surrounding sovereign wealth funds. Advised client regarding strategy. Supported internal communications and conducted media outreach.,509,3,TRUE
824,Afghan Interim Administration,Afghan Interim Administration,,,,Afghanistan,,533,4,TRUE
825,Afghan Interim Administration,Afghan Interim Administration,,,,Afghanistan,,534,4,TRUE
2488,Africa Travel Association,Africa Travel Association,,,,,"Promotion of travel, tourism and transport to and within Africa, and strengthening of intra-Africa partnerships on behalf of the Africa Travel Association.",1569,,TRUE
2338,"Afrique Expansion, Inc.","Afrique Expansion, Inc.","1255, rue University, Bureau 401","Montreal, Quebec",,Canada,,1460,551,TRUE
