client_id,name,new_id,subcontractor id,notes
130095,"A.K. Capital, NHB",,,
130087,Abu Dhabi Department of Planning and Economy,,,
130204,Abu Dhabi Future Energy Company (Masdar) (through Gulf Hill & Knowlton WLL),129906,3301,
129906,Abu Dhabi Future Energy Company (trading name of Masdar),,,
129788,Abu Dhabi Investment Authority,,,
130070,Afghan Interim Administration,,,
130319,"Afrique Expansion, Inc.",,,
130376,Agencia Brasileira de Desenvolvimento Industrial,,,
130343,Agencija Za Konsalting Sigma Team Plus,,,
129737,Air France,,,
130135,Alberta Enterprise Group,,,
130221,Alliance for a Green Revolution in Africa (AGRA),,,
129758,Alpine Tourist Commission,,,
130118,"Ambassador Mohammed Khazee, Permanent Representative, Mission of the Islamic Republic to the Un",,,
129810,American Palm Oil Council,,,
129891,AmLib United Minerals,,,
130145,Antonio Valladolid,,,
130108,Arcaya And Associates,,,
130122,Aruba Tourism Authority,,,
129818,Association of Dutch Insurers (Verbond van Verzekeraars),,,
129919,Association of German Chambers of Industry and Commerce Deutscher Industrie und Handelskammertag (DI,,,
129823,Attiku Abubakar (through the Weidenfeld Law Firm),x,,can't find
129889,Austrian Tourist Office in Vienna,129889,,
130236,"Austrian Tourist Office, Inc",,,
129837,Avianca S.A.,,,
130157,Azerbaijan Diplomatic Academy,,,
130188,Bahamas Ministry of Tourism,,,
130223,Bahrain Economic Development Board,,,
130313,Bahrain thru Bell Pottinger,,,
129926,Bangladesh Export Processing Zone Authority,,,
129927,Bangladesh National Party,,,
129910,Bank of the Netherlands Antilles,,,
130064,Barbados Investment & Development Corporation,,,
130065,Barbados Tourism Authority,,,
130047,Bauchi State Government,,,
129987,"Bavarian Ministry for Economic Affairs, Infrastructure, Transport and Technology",,,
130384,Bay Gardens Resorts,,,
130194,Beef + Lamb New Zealand (B+LNZ),,,
129819,Beijing Organizing Committee for the Games of the XXIX Olympiad (through Hill & Knowlton China),x,3301,
129933,Belgian Tourist Office/OPT,,,
130074,Bermuda Department of Tourism,,,
130342,Bermuda Dept of Tourism,,,
130374,Bermuda Ministry of Finance,,,
130364,"BGR Gabara, LLP (for the Embassy of Kazakhstan, London, UK)",x,5973,US not london?
130044,Bolivia Foundation for the Development of Communities,,,
130212,"Bombardier, Inc.",,,
129774,Borse Dubai Limited,,,
130078,Brazil Ministry of Health
129829,British Council
130371,British National Party (BNP)
129922,British Virgin Islands
129853,"Bureau of Foreign Trade, Ministry of Economic Affairs, Government of the Republic of China (BOFT)"
130226,"Bureau of Foreign Trade, Ministry of Economic Affairs, Government of the Republic of China (BOFT)"
129784,Camara de Azucareros
129824,Camara Nacional de la Industria Electronica de Telecomunicationes y Technologias de la Informacion (
130079,Camelot Oil & Gas Development Ltd.
129929,Canadian Broadcasting Corporation
130363,Canadian Commercial Corporation
129813,Canadian Embassy
130225,Canadian Tourism Commission
130331,Caribbean Tourism Development Company
130033,"Cayman Islands Government, Portfolio of Finance and Economics"
130300,Central Bank of Curacao and Sint Maarten
130299,Central Bank of Curacao and Sint Maarten (formerly the Bank of the Netherlands Antilles,,
130176,China Chamber of Commerce for Importers & Exporters of Machinery and Electronic Products,,
130177,"China Chamber of Commerce for Importers and Exporters of Metals, Minerals and Chemicals",,
129827,China Daily of Beijing,,
129825,China National Tourism Administration (CNTA),,
129901,China Ocean Shipping Company,,
129885,China Shipping (Group) Company,,
129800,"City of Amsterdam, Kingdom of Netherlands",,
130243,City of London,,
129754,City of Osaka,,
129931,"City of Sunderland, England",,
129753,"City of Yokohama, Kanagawa, Japan",,
130349,Colombia Is Passion/Government of Colombia through The Fratelli Group,130146,5867
129880,Comission Nacional de Zonas Francas (Nicaragua),,
130361,"Commercial Procurement Office of Defense Cooperation, Netherlands",,
129934,Commission de Mise en Oeuvre de la Loi HOPE (CMO-HOPE),,
130038,Commonwealth of Australia
129937,Commonwealth Of Dominica
130190,Consejo de Promocion Turistica de Mexico S.A. de C.V
129959,Conselho Nacional De Carregadores De Angola (C.N.C.)
129862,"Consulate General Of Japan, San Francisco"
129846,Coordinadora de las Comunidades Afectadas por la Construccion de la Hidroelectrica Chixoy (COCAHICH)
130169,Copenhagen Consensus Center
129872,Corporation for the Promotion of Exports and Investments of Ecuador
130372,Council for Leather Exports of India
129977,Council of Khalistan
129990,Country of Peru
130344,"Country of Serbia: Ambassador Vladimir Petrovic, Jovan Ratkovic, Foreign Policy Advisor to President"
130210,Critical National Infrastructure Authority - Abu Dhabi (CNIA)
130211,Critical National Infrastructure Authority (CNIA)
129851,Cross-Strait Interflow Prospect Foundation
