Amount,Date,Client,Registrant,Purpose,To Subcontractor,Source,Record ID
77448.96,03/31/13*,Embassy of the Republic of Korea to the United States,Ruder Finn Inc,,,http://www.fara.gov/docs/1481-Supplemental-Statement-20130425-16.pdf,110697
249686.79,03/31/13*,Jamaica Tourist Board,Ruder Finn Inc,,,http://www.fara.gov/docs/1481-Supplemental-Statement-20130425-16.pdf,110698
2684.85,03/31/13*,Swiss Private Bankers Association,Ruder Finn Inc,,,http://www.fara.gov/docs/1481-Supplemental-Statement-20130425-16.pdf,110699
1406.07,03/31/13*,Via Rail,Ruder Finn Inc,,,http://www.fara.gov/docs/1481-Supplemental-Statement-20130425-16.pdf,110700
43831.51,03/31/13*,Republic of Singapore (Singapore Tourism Board),Ruder Finn Inc,,,http://www.fara.gov/docs/1481-Supplemental-Statement-20130425-16.pdf,110701
5927.12,03/31/13*,Oficina De Visitantes Y Convenciones De La Riviera Nayarit,Ruder Finn Inc,,,http://www.fara.gov/docs/1481-Supplemental-Statement-20130425-16.pdf,110702
2385804.00,04/30/13*,Korea Trade - Investment Promotion Agency (KOTRA),Korea Trade Promotion Center,"Korea Business Center, New York",,http://www.fara.gov/docs/1619-Supplemental-Statement-20130528-18.pdf,110647
366177.86,04/30/13*,Korea Trade - Investment Promotion Agency (KOTRA),Korea Trade Promotion Center,"Korea Business Center, Los Angeles",,http://www.fara.gov/docs/1619-Supplemental-Statement-20130528-18.pdf,110648
1269726.16,04/30/13*,Korea Trade - Investment Promotion Agency (KOTRA),Korea Trade Promotion Center,"Korea Business Center, Chicago",,http://www.fara.gov/docs/1619-Supplemental-Statement-20130528-18.pdf,110649
671594.00,04/30/13*,Korea Trade - Investment Promotion Agency (KOTRA),Korea Trade Promotion Center,"Korea Business Center, Dallas",,http://www.fara.gov/docs/1619-Supplemental-Statement-20130528-18.pdf,110650
668617.98,04/30/13*,Korea Trade - Investment Promotion Agency (KOTRA),Korea Trade Promotion Center,"Korea Business Center, Washington DC",,http://www.fara.gov/docs/1619-Supplemental-Statement-20130528-18.pdf,110651
1013856.06,04/30/13*,Korea Trade - Investment Promotion Agency (KOTRA),Korea Trade Promotion Center,"Korea Business Center, Silicon Valley",,http://www.fara.gov/docs/1619-Supplemental-Statement-20130528-18.pdf,110652
438580.30,04/30/13*,Korea Trade - Investment Promotion Agency (KOTRA),Korea Trade Promotion Center,"Korea Business Center, Miami",,http://www.fara.gov/docs/1619-Supplemental-Statement-20130528-18.pdf,110653
630186.00,04/30/13*,Korea Trade - Investment Promotion Agency (KOTRA),Korea Trade Promotion Center,"Korea Business Center, Detroit",,http://www.fara.gov/docs/1619-Supplemental-Statement-20130528-18.pdf,110654
454842.39,04/30/13*,Korea Trade - Investment Promotion Agency (KOTRA),Korea Trade Promotion Center,"Korea Business Center, New Jersey",,http://www.fara.gov/docs/1619-Supplemental-Statement-20130528-18.pdf,110655
316926.95,04/30/13*,Korea Trade - Investment Promotion Agency (KOTRA),Korea Trade Promotion Center,"Korea Business Center, Torrance",,http://www.fara.gov/docs/1619-Supplemental-Statement-20130528-18.pdf,110656
388610.19,04/30/13*,Korea Trade - Investment Promotion Agency (KOTRA),Korea Trade Promotion Center,"Korea Business Center, Des Plaines",,http://www.fara.gov/docs/1619-Supplemental-Statement-20130528-18.pdf,110657
202024.58,04/30/13*,Korea Trade - Investment Promotion Agency (KOTRA),Korea Trade Promotion Center,"Korea Business Center, Virginia",,http://www.fara.gov/docs/1619-Supplemental-Statement-20130528-18.pdf,110658
402378.00,04/30/13*,Korea Trade - Investment Promotion Agency (KOTRA),Korea Trade Promotion Center,"Korea Business Center, Silicon Valley",,http://www.fara.gov/docs/1619-Supplemental-Statement-20130528-18.pdf,110659
8822061.00,12/31/11*,Japan External Trade Organization (JETRO),JETRO New York,,,http://www.fara.gov/docs/1643-Supplemental-Statement-20120131-16.pdf,111400
9111450.00,06/30/12*,Japan External Trade Organization (JETRO),JETRO New York,,,http://www.fara.gov/docs/1643-Supplemental-Statement-20120731-17.pdf,111401
6224617.00,12/31/12*,Japan External Trade Organization (JETRO),JETRO New York,,,http://www.fara.gov/docs/1643-Supplemental-Statement-20130205-18.pdf,111038
216747.20,03/31/13*,His Holiness the Dalai Lama,The Office Of Tibet,,,http://www.fara.gov/docs/1699-Supplemental-Statement-20130411-16.pdf,110943
655.95,12/31/12*,State of Israel,"Arnold & Porter, LLP",Williams Lea - Duplicating,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,109892
33.75,12/31/12*,State of Israel,"Arnold & Porter, LLP",Williams Lea - Color Copies,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,109893
73.75,12/31/12*,State of Israel,"Arnold & Porter, LLP",SBC Communications (AT&T Inc) - Telephone,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,109894
3893.45,12/31/12*,State of Israel,"Arnold & Porter, LLP",Computer Research - Westlaw Research,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,109895
128.47,12/31/12*,State of Israel,"Arnold & Porter, LLP",Computer Research - Pacer Service Center,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,109896
163.54,12/31/12*,State of Israel,"Arnold & Porter, LLP",Cash Expenses - A&P Employees,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,109897
103.89,12/31/12*,State of Israel,"Arnold & Porter, LLP",A&P Employees - Local Transportation,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,109898
80.66,12/31/12*,State of Israel,"Arnold & Porter, LLP",Publications - Independence Legal Support,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,109899
257.07,12/31/12*,State of Israel,"Arnold & Porter, LLP",Courier - Federal Express,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,109900
28.94,2012-07-13,State of Israel,"Arnold & Porter, LLP",Courier - Washington Express,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,109901
86363.83,12/31/12*,State of Israel,"Arnold & Porter, LLP",Professional services and other expenses - other disbursements for non-registrable activities,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,109902
305.00,2012-07-25,State of Israel,"Arnold & Porter, LLP",Filing Fees - FARA Registration Unit,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,109903
300.60,12/31/12*,Instituto Guatelmateco de Turismo INGUAT (Guatemalan Institute of Tourism,"Arnold & Porter, LLP",Cellular Telephone Fees - T-Mobile,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,109904
16.18,2012-10-03,Instituto Guatelmateco de Turismo INGUAT (Guatemalan Institute of Tourism,"Arnold & Porter, LLP",Publication - Government of Guatemala,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,109905
4362.38,12/31/12*,Instituto Guatelmateco de Turismo INGUAT (Guatemalan Institute of Tourism,"Arnold & Porter, LLP",A&P Attorney - Travel Expenses,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,109906
611.20,12/31/12*,Instituto Guatelmateco de Turismo INGUAT (Guatemalan Institute of Tourism,"Arnold & Porter, LLP",A&P Employees - Cash Expenses,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,109907
59.00,2012-09-23,Instituto Guatelmateco de Turismo INGUAT (Guatemalan Institute of Tourism,"Arnold & Porter, LLP",A&P Employees - Local Transportation,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,109908
57.15,2012-09-22,Instituto Guatelmateco de Turismo INGUAT (Guatemalan Institute of Tourism,"Arnold & Porter, LLP",Courier - Federal Express,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,109909
202237.12,12/31/12*,Quebec Government (Ministry Of International Relations); National Affairs; Governmental Relations an,Quebec Government House,travel,,http://www.fara.gov/docs/1787-Supplemental-Statement-20130301-16.pdf,111391
288647.05,12/31/12*,Quebec Government (Ministry Of International Relations); National Affairs; Governmental Relations an,Quebec Government House,Representation,,http://www.fara.gov/docs/1787-Supplemental-Statement-20130301-16.pdf,111392
347905.78,12/31/12*,Quebec Government (Ministry Of International Relations); National Affairs; Governmental Relations an,Quebec Government House,Communication Expenses,,http://www.fara.gov/docs/1787-Supplemental-Statement-20130301-16.pdf,111393
1274438.60,12/31/12*,Quebec Government (Ministry Of International Relations); National Affairs; Governmental Relations an,Quebec Government House,Rent,,http://www.fara.gov/docs/1787-Supplemental-Statement-20130301-16.pdf,111394
2549558.39,12/31/12*,Quebec Government (Ministry Of International Relations); National Affairs; Governmental Relations an,Quebec Government House,Salaries,,http://www.fara.gov/docs/1787-Supplemental-Statement-20130301-16.pdf,111395
216044.00,2012-10-01,Japan External Trade Organization (JETRO),JETRO San Francisco,Salaries for employees,,http://www.fara.gov/docs/1813-Supplemental-Statement-20130430-18.pdf,109910
79444.00,2012-10-01,Japan External Trade Organization (JETRO),JETRO San Francisco,Outsourcing(HR),,http://www.fara.gov/docs/1813-Supplemental-Statement-20130430-18.pdf,109911
209941.00,2012-10-01,Japan External Trade Organization (JETRO),JETRO San Francisco,Outsourcing(Business Development&PR),,http://www.fara.gov/docs/1813-Supplemental-Statement-20130430-18.pdf,109912
126894.00,2012-10-01,Japan External Trade Organization (JETRO),JETRO San Francisco,Outsourcing(Other),,http://www.fara.gov/docs/1813-Supplemental-Statement-20130430-18.pdf,109913
118279.00,2012-10-01,Japan External Trade Organization (JETRO),JETRO San Francisco,Office Rent,,http://www.fara.gov/docs/1813-Supplemental-Statement-20130430-18.pdf,109914
101958.00,2012-10-01,Japan External Trade Organization (JETRO),JETRO San Francisco,Travel Expenses,,http://www.fara.gov/docs/1813-Supplemental-Statement-20130430-18.pdf,109915
9951.00,2012-10-01,Japan External Trade Organization (JETRO),JETRO San Francisco,Advertising,,http://www.fara.gov/docs/1813-Supplemental-Statement-20130430-18.pdf,109916
